X,Y,field_1,Latitude,Longitude,layer,path
-3.3908977022675,5.372848140622,13,5.372848140622002,-3.390897702267500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3955294654305,5.37369191791,91,5.373691917910000,-3.395529465430500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953206022955,5.373655060802,92,5.373655060802000,-3.395320602295500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3909751779945,5.37264524761,40,5.372645247610000,-3.390975177994500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3907566750225,5.372770848046,41,5.372770848046002,-3.390756675022500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3908316515325,5.372562587494,23,5.372562587494000,-3.390831651532500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3908241538815,5.37281164135,26,5.372811641350000,-3.390824153881500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909758920565,5.372726476382,49,5.372726476382000,-3.390975892056500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3907641726735,5.372520720682,57,5.372520720682000,-3.390764172673500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909062710115,5.372686756586,34,5.372686756586000,-3.390906271011500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3908345077805,5.372649183806,37,5.372649183806000,-3.390834507780500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909676803435,5.372808420826,71,5.372808420826000,-3.390967680343500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3907616734565,5.372679599866,74,5.372679599866000,-3.390761673456500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909012725775,5.37277049021,44,5.372770490210000,-3.390901272577500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909755350255,5.372566165854,48,5.372566165854000,-3.390975535025500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3908295093465,5.372731486086,78,5.372731486086000,-3.390829509346500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3907623875185,5.37260230729,79,5.372602307290000,-3.390762387518500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3906902672565,5.372645605446,85,5.372645605446000,-3.390690267256500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909027007015,5.372520720682,62,5.372520720682000,-3.390902700701500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3906934805355,5.372803053286,87,5.372803053286000,-3.390693480535500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3906938375665,5.372721824514,93,5.372721824514000,-3.390693837566500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3909059139805,5.37260409647,94,5.372604096470000,-3.390905913980500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3906927664735,5.37256473451,76,5.372564734510000,-3.390692766473500,110,D:\DATA_\Points_D5\110.shp|layername=110
-3.3903421620315,5.372518931502,41,5.372518931502000,-3.390342162031500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904824752145,5.372762975654,45,5.372762975654000,-3.390482475214500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3905470978255,5.372810210006,15,5.372810210006000,-3.390547097825500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3906231454285,5.372517857994,27,5.372517857994002,-3.390623145428500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904160674485,5.372557935626,47,5.372557935626000,-3.390416067448500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3905499540735,5.372730770414,50,5.372730770414000,-3.390549954073500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3906245735525,5.372601233782,39,5.372601233782000,-3.390624573552500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904174955725,5.372628787154,40,5.372628787154000,-3.390417495572500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904874736485,5.37260409647,62,5.372604096470000,-3.390487473648500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3903400198455,5.372681389046,66,5.372681389046000,-3.390340019845500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904821181835,5.372683178226,71,5.372683178226000,-3.390482118183500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3906188610565,5.372685683078,46,5.372685683078000,-3.390618861056500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3905549525075,5.372566881526,76,5.372566881526000,-3.390554952507500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904099979215,5.372723613694,78,5.372723613694000,-3.390409997921500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3906174329325,5.372769416702,81,5.372769416702000,-3.390617432932500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904839033385,5.372521078518,59,5.372521078518000,-3.390483903338500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3903421620315,5.372609106174,85,5.372609106174000,-3.390342162031500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3903382346905,5.372763691326,90,5.372763691326000,-3.390338234690500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3904114260455,5.37280627381,91,5.372806273810000,-3.390411426045500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3905549525075,5.37264524761,74,5.372645247610000,-3.390554952507500,111,D:\DATA_\Points_D5\111.shp|layername=111
-3.3929981156405,5.373596017862,47,5.373596017862000,-3.392998115640500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3930709499645,5.37379390117,48,5.373793901170000,-3.393070949964500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3930705929335,5.373711956726,55,5.373711956726000,-3.393070592933500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3930013289195,5.373676530962,26,5.373676530962000,-3.393001328919500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3929327789675,5.373719471282,60,5.373719471282000,-3.392932778967500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3928613727675,5.373754897046,61,5.373754897046000,-3.392861372767500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3929302797505,5.373879066138,63,5.373879066138000,-3.392930279750500,26,D:\DATA_\Points_D5\26.shp|layername=26
